title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Workstation network,No summary - Aucun sommaire,122629-1992,1992,1991-1992,"Slater, Gary",University of Ottawa,Physique,Ontario,33884.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Condensed Matter Physics,Statistical mechanics and thermodynamics,Physical sciences,No Co-Researcher,No Partners,100173,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100173
Study of the behavior of macromolecules in biological & chemical systems,No summary - Aucun sommaire,46434-1990,1990,1991-1992,"Slater, Gary",University of Ottawa,Physics,Ontario,35000.0,2-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Mathematical physics,"Polymers, rubber and plastics",No Co-Researcher,No Partners,100174,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100174
"Surface Canada '91"", 13th Canadian Seminar on Surface, Trent University, Peterborough, May 28-30, 1991",No summary - Aucun sommaire,106919-1991,1991,1991-1992,"Slavin, Alan",Other University,Physics,Other in Canada,1000.0,1-1,Conference Grants (H),Anal. & Phys. Chemistry,Not available,Not available,No Co-Researcher,No Partners,100175,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100175
Bimetallic surfaces and oxide growth mechanisms,No summary - Aucun sommaire,5641-1991,1991,1991-1992,"Slavin, Alan",Trent University,Physics,Ontario,28000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,"Surfaces, interfaces and thin films",Primary metal products (ferrous and non-ferrous),No Co-Researcher,No Partners,100176,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100176
Development and application of state-of-the-art mathematical and physical modelling of atmospheric diffusion to environmental problems in the planetary boundary layer,No summary - Aucun sommaire,7107-1989,1989,1991-1992,"Slawson, Peter",University of Waterloo,Mechanical Engineering,Ontario,21850.0,3-3,Discovery Grants Program - Individual,Mechanical Engineering,Fluid mechanics,"Pollutants and toxic agents (waste, use 902)",No Co-Researcher,No Partners,100177,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100177
No title - Aucun titre,No summary - Aucun sommaire,91177-1990,1990,1991-1992,"Slawson, Robin",University of Guelph,Environmental Biology,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Microbiology,Not available,No Co-Researcher,No Partners,100178,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100178
"Sediment budgets of Lillooet and Squamish basins, Coast Mountains",No summary - Aucun sommaire,7073-1991,1991,1991-1992,"Slaymaker, Olav",The University of British Columbia,Geography,British Columbia,17300.0,1-3,Discovery Grants Program - Individual,Environmental Earth Sciences,Geomorphology,Earth sciences,No Co-Researcher,No Partners,100179,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100179
Adaptive judgemental processes,No summary - Aucun sommaire,8628-1996,1996,1996-1997,"Petrusic, William",Carleton University,Psychology,Ontario,21500.0,1-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Sensory systems and perception,Psychology,No Co-Researcher,No Partners,10018,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10018
Numerical modelling of alternative groundwater remediation methods,No summary - Aucun sommaire,105846-1991,1991,1991-1992,"Sleep, Brent",University of Toronto,Civil Engineering,Ontario,16000.0,1-3,Discovery Grants Program - Individual,Civil Engineering,Hydrology,Modelling and mathematical simulation of natural processes,No Co-Researcher,No Partners,100180,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100180
No title - Aucun titre,No summary - Aucun sommaire,120502-1991,1991,1991-1992,"Sleiman, Mohamad",Concordia University,Mechanical Engineering,Québec,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Fluid mechanics,Not available,No Co-Researcher,No Partners,100181,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100181
Electric motors and drives,No summary - Aucun sommaire,1326-1991,1991,1991-1992,"Slemon, Gordon",University of Toronto,Electrical Engineering,Ontario,44000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Power systems,Transport equipment,No Co-Researcher,No Partners,100182,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100182
Semiochemical studies,No summary - Aucun sommaire,3785-1990,1990,1991-1992,"Slessor, Keith",Simon Fraser University,Chemistry,British Columbia,40000.0,2-3,Discovery Grants Program - Individual,Interdisciplinary,Other studies in natural sciences and engineering,Agriculture and primary food production,No Co-Researcher,No Partners,100183,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100183
No title - Aucun titre,No summary - Aucun sommaire,120068-1991,1991,1991-1992,"Slessor, Michael",The University of British Columbia,Mechanical Engineering,British Columbia,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Biomedical technology,Not available,No Co-Researcher,No Partners,100184,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100184
No title - Aucun titre,No summary - Aucun sommaire,119688-1991,1991,1991-1992,"Slimmon, Sheryl",University of Waterloo,Optometry (School),Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Toxicology,Not available,No Co-Researcher,No Partners,100185,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100185
"Kinetics, dynamics and branching ratios of reactions and energy transfer processes by fast time-resolved fourier transform spectroscopy",No summary - Aucun sommaire,39678-1991,1991,1991-1992,"Sloan, James",University of Waterloo,Chemistry,Ontario,53000.0,1-3,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Atomic and molecular studies,"Pollutants and toxic agents (waste, use 902)",No Co-Researcher,No Partners,100186,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100186
Experimental determination of simulation and quantitative determination of ozone destruction by pollutants under stratospheric conditions,No summary - Aucun sommaire,45237-1989,1989,1991-1992,"Sloan, James",University of Waterloo,Chemistry,Ontario,75000.0,3-3,Strategic Projects - Group,Environmental Quality (H),Atmospheric science,"Pollutants and toxic agents (waste, use 902)","Donaldson, DavidJamesGough, Terence",No Partners,100187,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100187
Centre for Molecular Beams and Laser Chemistry,No summary - Aucun sommaire,92805-1990,1990,1991-1992,"Sloan, James",University of Waterloo,Chemistry,Ontario,35000.0,2-3,Infrastructure Grants (H),Anal. & Phys. Chemistry,Physical chemistry,Not available,"Hepburn, JohnIsenor, NeilLeung, KamTONGMcMahon, Terrance",No Partners,100188,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100188
Equipment for the investigation of the effect of electronic excitation on the kinetics and dynamics of chemical reactions,No summary - Aucun sommaire,123656-1992,1992,1991-1992,"Sloan, James",University of Waterloo,Chemistry,Ontario,138366.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Anal. & Phys. Chemistry,Not available,Physical sciences,No Co-Researcher,No Partners,100189,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100189
No title - Aucun titre,No summary - Aucun sommaire,159127-1994,1994,1996-1997,"Petry, RobertGeorge",University of Calgary,Mathematics and Statistics,Alberta,5220.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,10019,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10019
"Parasites of equids: biology, epidemiology and control",No summary - Aucun sommaire,6454-1990,1990,1991-1992,"Slocombe, Joseph",University of Guelph,Pathology,Ontario,23660.0,2-3,Discovery Grants Program - Individual,Animal Biology (H),Parasitology,Agriculture and primary food production,No Co-Researcher,No Partners,100190,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100190
No title - Aucun titre,No summary - Aucun sommaire,94455-1990,1990,1991-1992,"Sloman, Steven",University of Michigan,Psychology,Michigan,9704.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Cognitive science -- other,Not available,No Co-Researcher,No Partners,100191,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100191
No title - Aucun titre,No summary - Aucun sommaire,108467-1991,1991,1991-1992,"Sloman, Steven",University of Michigan,Psychology,Michigan,19296.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Cognitive science -- other,Not available,No Co-Researcher,No Partners,100192,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100192
No title - Aucun titre,No summary - Aucun sommaire,119363-1991,1991,1991-1992,"Slonowsky, Dean",The University of Winnipeg,Mathematics & Statistics,Manitoba,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100193,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100193
No title - Aucun titre,No summary - Aucun sommaire,91716-1990,1990,1991-1992,"Sluggett, Gregory",McMaster University,Chemistry,Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,100194,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100194
No title - Aucun titre,No summary - Aucun sommaire,114726-1991,1991,1991-1992,"Sluggett, Gregory",McMaster University,Chemistry,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,100195,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100195
Noninvasive blood pressure measurement/ kinematic assessment of hand function,No summary - Aucun sommaire,36388-1991,1991,1991-1992,"Small, Carolyn",Queen's University,Mechanical Engineering,Ontario,17000.0,1-3,Discovery Grants Program - Individual,Mechanical Engineering,Biomedical technology,Psychology,No Co-Researcher,No Partners,100196,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100196
Techniques of inference,No summary - Aucun sommaire,8595-1989,1989,1991-1992,"Small, Christopher",University of Waterloo,Statistical and Actuarial Sciences,Ontario,12980.0,3-3,Discovery Grants Program - Individual,Statistical Sciences,Statistics and probability,Mathematical sciences,No Co-Researcher,No Partners,100197,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100197
No title - Aucun titre,No summary - Aucun sommaire,91151-1990,1990,1991-1992,"Small, Ian",University of Toronto,Computer Science,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Computer hardware,Not available,No Co-Researcher,No Partners,100198,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100198
Generating function method,No summary - Aucun sommaire,8785-1991,1991,1991-1992,"Small, Robert",University of New Brunswick,Mathematics & Statistics,New Brunswick,5000.0,1-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Numerical analysis,Mathematical sciences,No Co-Researcher,No Partners,100199,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100199
No title - Aucun titre,No summary - Aucun sommaire,155039-1994,1994,1996-1997,"Bergman, Carita",University of Guelph,Zoology,Ontario,11645.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,1002,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1002
Fine-grained sediment transport in Interior BC Watersheds,No summary - Aucun sommaire,170654-1995,1995,1996-1997,"Petticrew, Ellen",University of Northern British Columbia,Head Office,British Columbia,11200.0,2-2,Discovery Grants Program - Individual,Environmental Earth Sciences,Geomorphology,Not available,No Co-Researcher,No Partners,10020,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10020
Alpine hydrology,No summary - Aucun sommaire,3332-1989,1989,1991-1992,"Smart, Christopher",The University of Western Ontario,Geography,Ontario,34500.0,3-3,Discovery Grants Program - Individual,Earth Sciences (H),Geomorphology,"Oceans, seas and estuaries",No Co-Researcher,No Partners,100200,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100200
"Metal oxidation, ionic diffusion and defect structures in metal oxides and sulfides",No summary - Aucun sommaire,2483-1989,1989,1991-1992,"Smeltzer, Walter",McMaster University,Materials Science & Engineering,Ontario,67000.0,3-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Materials processing,Primary metal products (ferrous and non-ferrous),No Co-Researcher,No Partners,100201,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100201
No title - Aucun titre,No summary - Aucun sommaire,91184-1990,1990,1991-1992,"Smeulders, Paul",The University of Western Ontario,Electrical Engineering,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Electrical and electronic engineering,Not available,No Co-Researcher,No Partners,100202,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100202
No title - Aucun titre,No summary - Aucun sommaire,118127-1991,1991,1991-1992,"Smid, Valerie",University of Manitoba,Agriculture (Faculty),Manitoba,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Animal physiology and metabolism,Not available,No Co-Researcher,No Partners,100203,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100203
No title - Aucun titre,No summary - Aucun sommaire,108395-1991,1991,1991-1992,"Smillie, David",McMaster University,Biology,Ontario,14996.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Cell biology,Not available,No Co-Researcher,No Partners,100204,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100204
No title - Aucun titre,No summary - Aucun sommaire,117359-1991,1991,1991-1992,"Smillie, Mark",Merck Frosst Canada Ltd,Head Office,Québec,2637.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100205,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100205
No title - Aucun titre,No summary - Aucun sommaire,120197-1991,1991,1991-1992,"Smit, Dick",University of Calgary,Electrical & Computing Engineering,Alberta,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Communications systems,Not available,No Co-Researcher,No Partners,100206,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100206
Monitoring and quantifying caulobacters in wastewater treatment systems,No summary - Aucun sommaire,36574-1991,1991,1991-1992,"Smit, John",The University of British Columbia,Microbiology,British Columbia,26000.0,1-1,Discovery Grants Program - Individual,Cell Biology,Not available,"Waste, waste management and recycling",No Co-Researcher,No Partners,100207,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100207
Application of caulobacters to separate heavy metals from waste water streams,No summary - Aucun sommaire,118148-1991,1991,1991-1992,"Smit, John",The University of British Columbia,Microbiology,British Columbia,89756.0,1-3,Strategic Projects - Group,Environmental Quality (H),Microbiology,"Pollutants and toxic agents (waste, use 902)",No Co-Researcher,No Partners,100208,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100208
No title - Aucun titre,No summary - Aucun sommaire,119689-1991,1991,1991-1992,"Smith, Alicia",University of Waterloo,Biology,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100209,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100209
Two-phase flow-induced vibration and related studies,No summary - Aucun sommaire,4473-1995,1995,1996-1997,"Pettigrew, Michel",University of Toronto,Mechanical and Industrial Eng.,Ontario,17100.0,2-4,Discovery Grants Program - Individual,Mechanical Engineering,Vibrations,Nuclear energy,No Co-Researcher,No Partners,10021,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10021
No title - Aucun titre,No summary - Aucun sommaire,108536-1991,1991,1991-1992,"Smith, Blake",University of Toronto,Zoology,Ontario,14996.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Cell biology,Not available,No Co-Researcher,No Partners,100210,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100210
Applied stochastic models for the natural sciences,No summary - Aucun sommaire,42110-1989,1989,1991-1992,"Smith, Bruce",Dalhousie University,Math. Stats. & Computer Sc,Nova Scotia,13600.0,3-3,Discovery Grants Program - Individual,Statistical Sciences,Applied probability,Mathematical sciences,No Co-Researcher,No Partners,100211,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100211
Quantitative and animal genetics theory for new biotechnologies,No summary - Aucun sommaire,25167-1991,1991,1991-1992,"Smith, Charles",University of Guelph,Animal & Poultry Science,Ontario,24000.0,1-3,Discovery Grants Program - Individual,Animal Biology (H),Animal reproduction,"Animal management (animal diseases, breeding)",No Co-Researcher,No Partners,100212,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100212
NSERC/SEMEX J.C. Rennie Industrial Research Chair in Animal Breeding Strategies Utilizing Animal Biotechnology,No summary - Aucun sommaire,39157-1985,1985,1991-1992,"Smith, Charles",University of Guelph,Animal & Poultry Science,Ontario,46400.0,6-10,Industrial Research Chairs,University/Industry,Genetics,Animal production and animal primary products,No Co-Researcher,Semex Alliance,100213,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100213
No title - Aucun titre,No summary - Aucun sommaire,95572-1990,1990,1991-1992,"Smith, CAnne",The University of British Columbia,Microbiology,British Columbia,10338.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Microbiology,Not available,No Co-Researcher,No Partners,100214,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100214
